filename,id,app_type,description,key_features,ui_elements,use_case
fitness_ui_ux_collection.png,image:77,UI Collection,Sammlung verschiedener Fitness UI Screens mit Gradient Design,"Dashboard Stats, Login Screens, Charts, BPM Tracking","Gradient Colors, Modern Charts, Clean Icons",UI-Design Inspiration
meal_planner_multiple_screens.png,image:78,Advanced Meal Planner,"Meal Planner mit Photo Scanning, Calendar und Categories","Photo Scanning, Calendar Planning, Meal Categories","White Background, Orange Accents, Calendar Views",Advanced Meal Planning Features
noom_ui_kit_figma.png,image:79,Noom UI Kit,Noom UI Kit mit Motivational Content und Progress Charts,"Behavioral Coaching, Progress Comparison, Motivational Design","Motivational Graphics, Chart Comparisons, Clean Design",Behavioral Coaching Interface
fitness_app_ui_elements.png,image:80,UI Elements,Sammlung von Fitness-App UI Widgets und Controls,"Running Stats, Weight Tracking, Calorie Sliders, Exercise Icons","Modern Widgets, Toggle Switches, Progress Indicators",UI-Component Library
grabgreen_meal_planning.png,image:81,GrabGreen,"GrabGreen Meal Planning App mit Login, Dashboard und Calendar","Weekly Schedule, Meal Types, Nutrition Expert, Health Tracking","Green/Black Accents, Calendar Views, Health Icons",Comprehensive Meal Planning
fitbit_nutrition_tracking.png,image:82,Fitbit-Style,Fitbit-ähnliches Nutrition Interface mit Calorie Status,"Calorie Balance, Macronutrient Breakdown, Meal Logging","Text-Based Layout, Circular Chart, Simple Design",Fitbit Integration Style
nike_training_club.png,image:83,Nike Training Club,Nike Training Club Premium Program Interface,"Professional Programs, Master Trainers, Premium Content","Dark Theme, White Text, Program Descriptions",Workout Program Interface
fitness_icons_kit.png,image:84,Icons Kit,Fitness Icons UI Kit mit verschiedenen Health/Exercise Symbolen,"Exercise Icons, Health Symbols, UI Components","Line Icons, Colored States, Modern Design",Icon Library für Fitness Apps
meal_planning_green_theme.png,image:85,Green Meal Planner,Grün-themige Meal Planning App mit Recipe Details und Dashboard,"Recipe Management, Meal Planning, User Personalization","Green Gradients, Clean Typography, Food Photography",Eco-Friendly Design Theme
keep_fit_dashboard.png,image:106,Keep Fit,Keep Fit App Dashboard mit Weekly Activity Charts,"Step Tracking, Multiple Sports, Weekly Goals, Speed/Time Stats","Purple Theme, Area Charts, Activity Tabs",Multi-Sport Fitness Tracking
yazo_nutrition_three_screens.png,image:107,YAZO Nutrition,YAZO-ähnliche App mit Complete Daily Nutrition Tracking,"Daily Nutrition Goals, Meal Logging, Progress Tracking, Health Stats","Clean Design, Progress Rings, Health Widgets",Comprehensive Nutrition Tracking
waterllama_hydration_app.png,image:108,Waterllama,Waterllama Hydration App mit süßen Charakteren,"Hydration Tracking, Gamification, Cute Characters, Goal Achievement","Playful Design, Animal Characters, Colorful Theme",Gamified Hydration Tracking
meal_planner_ui_design.png,image:109,Meal UI Design,Meal Planner mit Good Morning Greeting und Recipe Categories,"Meal Categories, Favorite Meals, Recipe Search, Time/Calorie Info","Orange/White Theme, Food Cards, Category Tabs",User-Friendly Meal Interface
fitness_dashboards_comparison.png,image:110,Dashboard Comparison,Zwei Fitness Dashboards mit verschiedenen Themes (Dark/Light),"Calorie/Water/Exercise/Cycling Tracking, Monthly Charts","Theme Comparison, Line Graphs, Tracking Widgets",Dashboard Design Variations
meal_recipe_app_multiple.png,image:111,Recipe Collection,"Meal Recipe App mit Grocery List, Recipe Details und Meal Planning","Grocery Lists, Recipe Details, Meal Calendar, Favorites","Clean White Design, Orange Buttons, Food Photography",Complete Meal Management System
social_analytics_dashboard.png,image:112,Analytics Dashboard,Social Media Analytics Dashboard (als UI-Referenz),"Detailed Statistics, Charts, Progress Tracking","Colorful Charts, Clean Layout, Data Visualization",Dashboard Design Reference
